timestamp,feedback,sentiment,urgency,emotion,category
2025-01-04T19:47:28,Absolutely loved the food today!,Very Positive,Medium,satisfaction,Customer Service
2025-01-04T21:48:55,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,satisfaction,Customer Service
2025-01-05T00:00:20,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Delivery
2025-01-05T00:34:30,"Food was good, service could be faster.",Positive,Low,satisfaction,Food Quality
2025-01-05T00:39:41,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,joy,Cleanliness
2025-01-05T03:58:55,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Low,joy,Waiting Time
2025-01-05T03:59:04,Absolutely loved the food today!,Very Positive,Low,joy,Takeaway Issues
2025-01-05T04:32:45,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,satisfaction,Delivery
2025-01-05T04:38:56,Everything was perfect. Thank you!,Very Positive,Medium,joy,Pricing
2025-01-05T05:32:59,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Customer Service
2025-01-05T09:11:49,நல்ல அனுபவம்.,Positive,Medium,satisfaction,Customer Service
2025-01-05T11:00:34,හොඳ ආහාරයක් තිබුණා.,Positive,Low,satisfaction,Food Quality
2025-01-05T11:13:36,Amazing service and delicious noodles!,Very Positive,Medium,joy,Delivery
2025-01-05T12:34:45,Absolutely loved the food today!,Very Positive,Medium,gratitude,Waiting Time
2025-01-05T12:52:23,Amazing service and delicious noodles!,Very Positive,Medium,joy,Takeaway Issues
2025-01-05T13:42:39,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Low,joy,Food Quality
2025-01-05T14:46:14,Absolutely loved the food today!,Very Positive,Low,satisfaction,Food Quality
2025-01-05T14:52:54,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Delivery
2025-01-05T15:20:37,Absolutely loved the food today!,Very Positive,Low,joy,Delivery
2025-01-05T15:45:26,Everything was perfect. Thank you!,Very Positive,Low,joy,Cleanliness
2025-01-05T17:52:29,Amazing service and delicious noodles!,Very Positive,Medium,gratitude,Pricing
2025-01-05T19:06:01,Absolutely loved the food today!,Very Positive,Medium,gratitude,Waiting Time
2025-01-05T21:09:56,අත්දැකීම සාමාන්‍යයෙන් හොඳයි.,Positive,Low,satisfaction,Cleanliness
2025-01-06T00:44:50,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Food Quality
2025-01-06T01:53:47,Amazing service and delicious noodles!,Very Positive,Medium,joy,Pricing
2025-01-06T05:19:15,Absolutely loved the food today!,Very Positive,Medium,joy,Waiting Time
2025-01-06T06:08:12,Everything was perfect. Thank you!,Very Positive,Medium,joy,Waiting Time
2025-01-06T07:36:43,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Medium,gratitude,Customer Service
2025-01-06T08:30:27,Nice experience overall.,Positive,Low,satisfaction,Delivery
2025-01-06T10:11:07,Amazing service and delicious noodles!,Very Positive,High,satisfaction,Takeaway Issues
2025-01-06T10:15:45,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Delivery
2025-01-06T10:38:38,Absolutely loved the food today!,Very Positive,Medium,joy,Waiting Time
2025-01-06T10:41:19,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Medium,gratitude,Delivery
2025-01-06T13:27:01,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Cleanliness
2025-01-06T18:44:06,Nice experience overall.,Positive,Low,joy,Customer Service
2025-01-06T18:58:08,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,joy,Pricing
2025-01-06T19:00:13,"ආහාරය රසයි, සේවාව තව හොඳ වෙන්න පුළුවන්.",Positive,Medium,satisfaction,Customer Service
2025-01-06T20:25:41,Amazing service and delicious noodles!,Very Positive,Low,joy,Waiting Time
2025-01-06T21:12:21,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Cleanliness
2025-01-06T21:23:39,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Pricing
2025-01-06T22:10:01,Everything was perfect. Thank you!,Very Positive,Low,joy,Other
2025-01-06T22:16:19,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Medium,gratitude,Cleanliness
2025-01-06T22:29:42,Everything was perfect. Thank you!,Very Positive,Medium,joy,Pricing
2025-01-06T23:38:21,Amazing service and delicious noodles!,Very Positive,Medium,gratitude,Pricing
2025-01-06T23:47:30,Amazing service and delicious noodles!,Very Positive,Medium,gratitude,Food Quality
2025-01-07T00:10:26,Amazing service and delicious noodles!,Very Positive,High,satisfaction,Food Quality
2025-01-07T00:11:36,Absolutely loved the food today!,Very Positive,Medium,joy,Customer Service
2025-01-07T01:24:12,Everything was perfect. Thank you!,Very Positive,High,gratitude,Food Quality
2025-01-07T01:36:12,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Pricing
2025-01-07T02:35:57,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Waiting Time
2025-01-07T03:01:41,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Cleanliness
2025-01-07T03:40:02,Absolutely loved the food today!,Very Positive,High,gratitude,Food Quality
2025-01-07T04:13:23,Nothing special to mention.,Neutral,Medium,calm,Cleanliness
2025-01-07T05:11:05,Absolutely loved the food today!,Very Positive,Low,joy,Delivery
2025-01-07T05:26:35,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Waiting Time
2025-01-07T05:32:06,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Delivery
2025-01-07T07:08:55,Absolutely loved the food today!,Very Positive,Low,joy,Cleanliness
2025-01-07T07:19:44,மிகுந்த மகிழ்ச்சி! 😊,Very Positive,Low,joy,Food Quality
2025-01-07T07:45:22,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,joy,Delivery
2025-01-07T10:58:41,Nothing special to mention.,Neutral,Low,calm,Customer Service
2025-01-07T12:14:25,හොඳ ආහාරයක් තිබුණා.,Positive,Low,satisfaction,Food Quality
2025-01-07T13:51:19,හොඳ ආහාරයක් තිබුණා.,Positive,Medium,satisfaction,Pricing
2025-01-07T14:45:14,Nice experience overall.,Positive,Low,joy,Customer Service
2025-01-07T17:05:36,Nice experience overall.,Positive,Low,joy,Delivery
2025-01-07T17:06:03,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,gratitude,Other
2025-01-07T17:16:37,සාමාන්‍යම හැමදේම.,Neutral,Medium,indifference,Takeaway Issues
2025-01-07T18:00:19,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Cleanliness
2025-01-07T18:14:38,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Food Quality
2025-01-07T19:37:54,மிகுந்த மகிழ்ச்சி! 😊,Very Positive,Low,joy,Customer Service
2025-01-07T19:56:33,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,High,satisfaction,Cleanliness
2025-01-07T20:44:10,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Takeaway Issues
2025-01-07T21:37:31,Everything was perfect. Thank you!,Very Positive,Low,joy,Takeaway Issues
2025-01-07T22:29:20,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Cleanliness
2025-01-07T22:36:25,Absolutely loved the food today!,Very Positive,Medium,gratitude,Cleanliness
2025-01-07T22:38:04,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Delivery
2025-01-07T23:06:46,"Food was good, service could be faster.",Positive,Medium,satisfaction,Delivery
2025-01-07T23:09:30,Nothing special to mention.,Neutral,Low,calm,Customer Service
2025-01-07T23:09:44,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,satisfaction,Takeaway Issues
2025-01-07T23:11:47,Everything was perfect. Thank you!,Very Positive,Medium,joy,Food Quality
2025-01-07T23:44:35,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Pricing
2025-01-08T00:14:45,Everything was perfect. Thank you!,Very Positive,Low,gratitude,Other
2025-01-08T01:11:01,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Low,gratitude,Delivery
2025-01-08T01:49:21,Absolutely loved the food today!,Very Positive,High,satisfaction,Customer Service
2025-01-08T02:53:06,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Low,gratitude,Pricing
2025-01-08T03:01:09,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Medium,satisfaction,Pricing
2025-01-08T03:06:25,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Customer Service
2025-01-08T04:09:15,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Low,satisfaction,Waiting Time
2025-01-08T04:26:30,Everything was perfect. Thank you!,Very Positive,Medium,gratitude,Food Quality
2025-01-08T07:20:30,சமிக்ஞை உணவு.,Positive,Medium,joy,Waiting Time
2025-01-08T08:32:55,Everything was perfect. Thank you!,Very Positive,Medium,joy,Takeaway Issues
2025-01-08T08:43:14,එකලස් කමක් නෑ.,Neutral,Low,indifference,Other
2025-01-08T10:20:12,Everything was perfect. Thank you!,Very Positive,Medium,gratitude,Customer Service
2025-01-08T10:35:58,සාමාන්‍යම හැමදේම.,Neutral,High,indifference,Waiting Time
2025-01-08T14:05:44,Absolutely loved the food today!,Very Positive,Medium,joy,Waiting Time
2025-01-08T16:06:26,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Other
2025-01-08T17:09:33,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Customer Service
2025-01-08T17:33:49,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Cleanliness
2025-01-08T23:03:19,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Customer Service
2025-01-08T23:09:12,உணவு அருமை! நன்றி!,Very Positive,Medium,joy,Customer Service
2025-01-08T23:57:09,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Customer Service
2025-01-09T00:22:20,Absolutely loved the food today!,Very Positive,Low,satisfaction,Customer Service
2025-01-09T00:54:08,Everything was perfect. Thank you!,Very Positive,Medium,joy,Other
2025-01-09T02:08:20,සාමාන්‍යම හැමදේම.,Neutral,Medium,indifference,Customer Service
2025-01-09T02:24:29,Everything was perfect. Thank you!,Very Positive,Low,joy,Other
2025-01-09T02:26:26,Nothing special to mention.,Neutral,Medium,indifference,Customer Service
2025-01-09T02:38:53,மிகுந்த மகிழ்ச்சி! 😊,Very Positive,Low,satisfaction,Cleanliness
2025-01-09T03:44:35,Absolutely loved the food today!,Very Positive,High,joy,Takeaway Issues
2025-01-09T05:03:24,Absolutely loved the food today!,Very Positive,Medium,satisfaction,Delivery
2025-01-09T07:25:04,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Low,gratitude,Pricing
2025-01-09T08:01:36,It was okay.,Neutral,Low,calm,Food Quality
2025-01-09T09:28:49,එකලස් කමක් නෑ.,Neutral,Low,indifference,Delivery
2025-01-09T12:08:09,Amazing service and delicious noodles!,Very Positive,Medium,satisfaction,Cleanliness
2025-01-09T13:33:21,අත්දැකීම සාමාන්‍යයෙන් හොඳයි.,Positive,Low,satisfaction,Takeaway Issues
2025-01-09T14:39:10,Amazing service and delicious noodles!,Very Positive,Low,joy,Food Quality
2025-01-09T14:41:37,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Pricing
2025-01-09T14:43:32,உணவு அருமை! நன்றி!,Very Positive,Low,joy,Takeaway Issues
2025-01-09T15:14:02,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Low,satisfaction,Takeaway Issues
2025-01-09T16:27:21,Absolutely loved the food today!,Very Positive,Low,joy,Other
2025-01-09T17:39:20,Average experience.,Neutral,Low,calm,Cleanliness
2025-01-09T21:52:42,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Takeaway Issues
2025-01-09T23:07:04,Amazing service and delicious noodles!,Very Positive,Medium,gratitude,Cleanliness
2025-01-10T01:46:44,"Food was good, service could be faster.",Positive,High,joy,Pricing
2025-01-10T02:53:49,හොඳ ආහාරයක් තිබුණා.,Positive,Medium,joy,Delivery
2025-01-10T04:02:46,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Low,joy,Pricing
2025-01-10T04:21:14,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Cleanliness
2025-01-10T04:25:04,சமிக்ஞை உணவு.,Positive,Medium,joy,Takeaway Issues
2025-01-10T05:35:22,"சரி தான், ஆனால் சிறிது மேம்பாடு தேவை.",Positive,High,satisfaction,Delivery
2025-01-10T05:43:40,நல்ல அனுபவம்.,Positive,Low,satisfaction,Pricing
2025-01-10T08:17:09,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Low,joy,Pricing
2025-01-10T09:26:56,"Food was good, service could be faster.",Positive,Medium,joy,Delivery
2025-01-10T11:22:31,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,satisfaction,Cleanliness
2025-01-10T11:27:17,It was okay.,Neutral,Low,indifference,Delivery
2025-01-10T12:56:52,අද සුපිරි අත්දැකීමක් ලැබුණා! ❤️,Very Positive,Low,joy,Takeaway Issues
2025-01-10T13:08:31,Everything was perfect. Thank you!,Very Positive,Medium,joy,Pricing
2025-01-10T15:33:51,Amazing service and delicious noodles!,Very Positive,Medium,satisfaction,Delivery
2025-01-10T16:10:19,Average experience.,Neutral,Low,calm,Customer Service
2025-01-10T17:03:00,එකලස් කමක් නෑ.,Neutral,Low,indifference,Delivery
2025-01-10T17:41:30,"Had a great time, thanks!",Positive,Medium,joy,Waiting Time
2025-01-10T21:41:44,Everything was perfect. Thank you!,Very Positive,Low,joy,Takeaway Issues
2025-01-10T23:16:43,Amazing service and delicious noodles!,Very Positive,High,gratitude,Pricing
2025-01-10T23:35:54,Everything was perfect. Thank you!,Very Positive,Low,joy,Cleanliness
2025-01-11T03:05:15,சமிக்ஞை உணவு.,Positive,Low,joy,Other
2025-01-11T03:44:30,Everything was perfect. Thank you!,Very Positive,Low,joy,Waiting Time
2025-01-11T07:07:42,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,satisfaction,Food Quality
2025-01-11T09:24:32,Absolutely loved the food today!,Very Positive,Low,gratitude,Delivery
2025-01-11T09:38:26,உணவு அருமை! நன்றி!,Very Positive,High,satisfaction,Waiting Time
2025-01-11T10:25:32,உணவு அருமை! நன்றி!,Very Positive,High,satisfaction,Takeaway Issues
2025-01-11T10:49:43,Amazing service and delicious noodles!,Very Positive,Medium,joy,Cleanliness
2025-01-11T11:26:15,Absolutely loved the food today!,Very Positive,Low,gratitude,Cleanliness
2025-01-11T11:43:02,Absolutely loved the food today!,Very Positive,Low,joy,Food Quality
2025-01-11T12:47:15,Amazing service and delicious noodles!,Very Positive,Low,joy,Waiting Time
2025-01-11T13:32:18,Nice experience overall.,Positive,Medium,joy,Customer Service
2025-01-11T13:39:44,நல்ல அனுபவம்.,Positive,Low,satisfaction,Cleanliness
2025-01-11T13:45:56,"Food was good, service could be faster.",Positive,Low,joy,Pricing
2025-01-11T15:03:46,Nice experience overall.,Positive,Low,satisfaction,Food Quality
2025-01-11T15:11:19,Nice experience overall.,Positive,High,satisfaction,Delivery
2025-01-11T15:51:43,"ආහාරය රසයි, සේවාව තව හොඳ වෙන්න පුළුවන්.",Positive,Low,satisfaction,Food Quality
2025-01-11T16:53:30,Everything was perfect. Thank you!,Very Positive,Medium,satisfaction,Waiting Time
2025-01-11T17:36:21,Everything was perfect. Thank you!,Very Positive,Low,joy,Takeaway Issues
2025-01-11T18:05:59,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Low,satisfaction,Waiting Time
2025-01-11T18:22:07,Everything was perfect. Thank you!,Very Positive,Low,satisfaction,Other
2025-01-11T18:51:21,Absolutely loved the food today!,Very Positive,Low,joy,Customer Service
2025-01-11T18:59:37,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Medium,satisfaction,Pricing
2025-01-11T20:26:42,"Had a great time, thanks!",Positive,Low,satisfaction,Waiting Time
2025-01-11T20:58:06,බැරි ආයෙත් එන්න කියන්න.,Neutral,Low,calm,Waiting Time
2025-01-11T21:42:57,Everything was perfect. Thank you!,Very Positive,Medium,joy,Waiting Time
2025-01-11T22:48:49,It was okay.,Neutral,Low,calm,Food Quality
2025-01-12T00:34:14,Everything was perfect. Thank you!,Very Positive,Medium,joy,Customer Service
2025-01-12T01:12:13,Absolutely loved the food today!,Very Positive,Low,gratitude,Waiting Time
2025-01-12T02:46:27,Absolutely loved the food today!,Very Positive,Medium,satisfaction,Pricing
2025-01-12T04:09:21,Average experience.,Neutral,Low,indifference,Takeaway Issues
2025-01-12T04:25:14,Average experience.,Neutral,Medium,indifference,Customer Service
2025-01-12T04:49:45,Everything was perfect. Thank you!,Very Positive,Medium,joy,Food Quality
2025-01-12T05:41:01,Average experience.,Neutral,Low,indifference,Customer Service
2025-01-12T07:22:07,It was okay.,Neutral,Low,indifference,Cleanliness
2025-01-12T08:52:26,உணவு அருமை! நன்றி!,Very Positive,Medium,joy,Customer Service
2025-01-12T09:01:19,மிகுந்த மகிழ்ச்சி! 😊,Very Positive,High,satisfaction,Takeaway Issues
2025-01-12T09:42:31,Amazing service and delicious noodles!,Very Positive,Medium,joy,Delivery
2025-01-12T10:08:40,Amazing service and delicious noodles!,Very Positive,High,joy,Cleanliness
2025-01-12T11:06:01,Absolutely loved the food today!,Very Positive,Low,gratitude,Customer Service
2025-01-12T11:35:54,Amazing service and delicious noodles!,Very Positive,Low,joy,Delivery
2025-01-12T12:04:13,"Had a great time, thanks!",Positive,Low,joy,Food Quality
2025-01-12T13:11:21,හරිම රසයි. ස්තුතියි! 😊,Very Positive,Medium,gratitude,Cleanliness
2025-01-12T15:31:28,Nice experience overall.,Positive,Medium,joy,Takeaway Issues
2025-01-12T15:45:00,நல்ல சேவை மற்றும் சுவையான உணவு!,Very Positive,Medium,satisfaction,Other
2025-01-12T15:48:37,Absolutely loved the food today!,Very Positive,Low,satisfaction,Food Quality
2025-01-12T16:49:23,"Food was good, service could be faster.",Positive,Medium,joy,Waiting Time
2025-01-12T17:46:41,Nice experience overall.,Positive,Low,satisfaction,Food Quality
2025-01-12T20:02:33,Absolutely loved the food today!,Very Positive,High,gratitude,Food Quality
2025-01-12T21:26:44,"Had a great time, thanks!",Positive,Low,joy,Takeaway Issues
2025-01-12T22:04:28,ආහාරය සුපිරියි! අතිශයින් සතුටුයි!,Very Positive,Low,gratitude,Pricing
2025-01-12T23:11:45,Amazing service and delicious noodles!,Very Positive,Low,satisfaction,Pricing
2025-01-12T23:14:45,Amazing service and delicious noodles!,Very Positive,Low,gratitude,Takeaway Issues
2025-01-13T01:34:40,Nice experience overall.,Positive,Low,joy,Cleanliness
2025-01-13T01:51:08,Absolutely loved the food today!,Very Positive,Medium,joy,Cleanliness
